"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US06","California","39356104","*****",
"1400000US06001982100","Census Tract 9821; Alameda County; California","923","48",
"1400000US06001983200","Census Tract 9832; Alameda County; California","896","105",
"1400000US06001990000","Census Tract 9900; Alameda County; California","0","13",
"1400000US06003010000","Census Tract 100; Alpine County; California","1515","206",
"1400000US06005000101","Census Tract 1.01; Amador County; California","4294","553",
"1400000US06005000102","Census Tract 1.02; Amador County; California","2160","361",
"1400000US06005000201","Census Tract 2.01; Amador County; California","2791","526",
"1400000US06005000202","Census Tract 2.02; Amador County; California","1868","450",
"1400000US06005000301","Census Tract 3.01; Amador County; California","4934","330",
"1400000US06005000303","Census Tract 3.03; Amador County; California","6471","351",
"1400000US06005000304","Census Tract 3.04; Amador County; California","5259","645",
"1400000US06005000401","Census Tract 4.01; Amador County; California","4570","594",
"1400000US06005000402","Census Tract 4.02; Amador County; California","4826","592",
"1400000US06005000500","Census Tract 5; Amador County; California","3404","421",
"1400000US06007000102","Census Tract 1.02; Butte County; California","4266","506",
"1400000US06007000103","Census Tract 1.03; Butte County; California","6322","630",
"1400000US06007000104","Census Tract 1.04; Butte County; California","5873","894",
"1400000US06007000201","Census Tract 2.01; Butte County; California","4140","485",
"1400000US06007000202","Census Tract 2.02; Butte County; California","3706","389",
"1400000US06007000300","Census Tract 3; Butte County; California","4785","624",
"1400000US06007000401","Census Tract 4.01; Butte County; California","5424","878",
"1400000US06007000403","Census Tract 4.03; Butte County; California","3528","401",
"1400000US06007000404","Census Tract 4.04; Butte County; California","3642","378",
"1400000US06007000501","Census Tract 5.01; Butte County; California","4684","405",
"1400000US06007000502","Census Tract 5.02; Butte County; California","5199","722",
"1400000US06007000601","Census Tract 6.01; Butte County; California","3556","551",
"1400000US06007000603","Census Tract 6.03; Butte County; California","3653","340",
"1400000US06007000604","Census Tract 6.04; Butte County; California","4519","706",
